mode,variant,sample_index,delivery_milliseconds
memory,streaming,92,10.500000
memory,streaming,93,9.000000
memory,streaming,94,10.900000
memory,streaming,95,11.000000
memory,streaming,96,11.100000
memory,streaming,97,18.600000
memory,streaming,98,12.000000
memory,streaming,99,18.200000
memory,streaming,100,11.600000
memory,buffering-proxy-auto-detection,1,20.100000
memory,buffering-proxy-auto-detection,2,17.600000
memory,buffering-proxy-auto-detection,3,19.600000
memory,buffering-proxy-auto-detection,4,20.100000
memory,buffering-proxy-auto-detection,5,20.300000
memory,buffering-proxy-auto-detection,6,19.500000
memory,buffering-proxy-auto-detection,7,19.300000
memory,buffering-proxy-auto-detection,8,20.100000
memory,buffering-proxy-auto-detection,9,20.300000
memory,buffering-proxy-auto-detection,10,20.600000
memory,buffering-proxy-auto-detection,11,19.500000
memory,buffering-proxy-auto-detection,12,22.000000
memory,buffering-proxy-auto-detection,13,20.200000
memory,buffering-proxy-auto-detection,14,20.300000
memory,buffering-proxy-auto-detection,15,18.900000
memory,buffering-proxy-auto-detection,16,19.700000
memory,buffering-proxy-auto-detection,17,20.300000
memory,buffering-proxy-auto-detection,18,19.900000
memory,buffering-proxy-auto-detection,19,18.500000
memory,buffering-proxy-auto-detection,20,22.300000
memory,buffering-proxy-auto-detection,21,20.000000
memory,buffering-proxy-auto-detection,22,19.800000
memory,buffering-proxy-auto-detection,23,20.500000
memory,buffering-proxy-auto-detection,24,19.900000
memory,buffering-proxy-auto-detection,25,20.300000
memory,buffering-proxy-auto-detection,26,19.300000
memory,buffering-proxy-auto-detection,27,19.200000
memory,buffering-proxy-auto-detection,28,20.100000
memory,buffering-proxy-auto-detection,29,21.200000
memory,buffering-proxy-auto-detection,30,18.800000
memory,buffering-proxy-auto-detection,31,21.200000
memory,buffering-proxy-auto-detection,32,19.300000
memory,buffering-proxy-auto-detection,33,16.900000
memory,buffering-proxy-auto-detection,34,20.700000
memory,buffering-proxy-auto-detection,35,20.800000
memory,buffering-proxy-auto-detection,36,20.500000
