UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
root           1       0  3  6563 16740  10 09:49 ?        00:00:02 /usr/lib/systemd/systemd --switched-root --system --deserialize=53 splash
root          80       2  0     0     0  10 09:49 ?        00:00:00 [kworker/10:0-mm_percpu_wq]
root          81       2  0     0     0  10 09:49 ?        00:00:00 [kworker/10:0H-kblockd]
root          82       2  0     0     0  11 09:49 ?        00:00:00 [cpuhp/11]
root          83       2  0     0     0  11 09:49 ?        00:00:00 [idle_inject/11]
root          84       2  0     0     0  11 09:49 ?        00:00:00 [migration/11]
root          85       2  0     0     0  11 09:49 ?        00:00:00 [ksoftirqd/11]
root          86       2  0     0     0  11 09:49 ?        00:00:00 [kworker/11:0-events]
root          87       2  0     0     0  11 09:49 ?        00:00:00 [kworker/11:0H-kblockd]
root          88       2  0     0     0   1 09:49 ?        00:00:00 [kworker/u49:0-events_unbound]
root          89       2  0     0     0   4 09:49 ?        00:00:00 [kworker/u50:0-loop15]
root          90       2  0     0     0   9 09:49 ?        00:00:00 [kdevtmpfs]
root          91       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-inet_frag_wq]
root          92       2  0     0     0   5 09:49 ?        00:00:00 [rcu_tasks_kthread]
root          93       2  0     0     0   5 09:49 ?        00:00:00 [rcu_tasks_rude_kthread]
root          94       2  0     0     0  10 09:49 ?        00:00:00 [kauditd]
root          95       2  0     0     0   3 09:49 ?        00:00:00 [khungtaskd]
root          96       2  0     0     0   3 09:49 ?        00:00:00 [oom_reaper]
root          97       2  0     0     0   6 09:49 ?        00:00:00 [kworker/u49:1-async]
root          98       2  0     0     0   6 09:49 ?        00:00:00 [kworker/6:1-cgroup_release]
root          99       2  0     0     0   6 09:49 ?        00:00:00 [kworker/u49:2-async]
root         100       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-writeback]
root         101       2  0     0     0   5 09:49 ?        00:00:00 [kcompactd0]
root         102       2  0     0     0   3 09:49 ?        00:00:00 [ksmd]
root         103       2  0     0     0   3 09:49 ?        00:00:00 [khugepaged]
root         104       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-kblockd]
root         105       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root         106       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-kintegrityd]
root         107       2  0     0     0   1 09:49 ?        00:00:00 [irq/9-acpi]
root         108       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-tpm_dev_wq]
root         109       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-ata_sff]
root         110       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-md_bitmap]
root         111       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-md_llbitmap_io]
root         112       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-md_llbitmap_unplug]
root         113       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-edac-poller]
root         114       2  0     0     0   5 09:49 ?        00:00:00 [kworker/u48:1-gfx_0.1.0]
root         115       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-devfreq_wq]
root         116       2  0     0     0   5 09:49 ?        00:00:00 [watchdogd]
root         117       2  0     0     0  11 09:49 ?        00:00:00 [kworker/R-quota_events_unbound]
root         118       2  0     0     0  10 09:49 ?        00:00:00 [kworker/u50:1-loop13]
root         119       2  0     0     0   9 09:49 ?        00:00:00 [kworker/9:1-mm_percpu_wq]
root         120       2  0     0     0   5 09:49 ?        00:00:00 [kworker/u50:2-flush-259:0]
root         121       2  0     0     0   6 09:49 ?        00:00:00 [kswapd0]
root         122       2  0     0     0   6 09:49 ?        00:00:00 [ecryptfs-kthread]
root         123       2  0     0     0   3 09:49 ?        00:00:00 [kworker/3:1-mm_percpu_wq]
root         124       2  0     0     0   6 09:49 ?        00:00:00 [kworker/R-kthrotld]
root         125       2  0     0     0  10 09:49 ?        00:00:00 [kworker/u51:0-hci0]
root         126       2  0     0     0   6 09:49 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         127       2  0     0     0  10 09:49 ?        00:00:00 [kworker/10:1-cgroup_free]
root         128       2  0     0     0   5 09:49 ?        00:00:00 [kworker/u50:3-flush-259:0]
root         129       2  0     0     0   3 09:49 ?        00:00:00 [kworker/u50:4-ext4-rsv-conversion]
root         130       2  0     0     0   4 09:49 ?        00:00:00 [kworker/u50:5-loop11]
root         131       2  0     0     0   9 09:49 ?        00:00:00 [kworker/R-mld]
