mode,variant,sample_index,delivery_milliseconds
memory,streaming,92,10.900000
memory,streaming,93,10.800000
memory,streaming,94,18.400000
memory,streaming,95,12.000000
memory,streaming,96,17.700000
memory,streaming,97,11.900000
memory,streaming,98,18.400000
memory,streaming,99,12.500000
memory,streaming,100,17.700000
memory,buffering-proxy-auto-detection,1,20.100000
memory,buffering-proxy-auto-detection,2,20.700000
memory,buffering-proxy-auto-detection,3,19.300000
memory,buffering-proxy-auto-detection,4,18.700000
memory,buffering-proxy-auto-detection,5,18.800000
memory,buffering-proxy-auto-detection,6,20.300000
memory,buffering-proxy-auto-detection,7,19.300000
memory,buffering-proxy-auto-detection,8,20.700000
memory,buffering-proxy-auto-detection,9,18.900000
memory,buffering-proxy-auto-detection,10,20.800000
memory,buffering-proxy-auto-detection,11,22.400000
memory,buffering-proxy-auto-detection,12,20.200000
memory,buffering-proxy-auto-detection,13,20.900000
memory,buffering-proxy-auto-detection,14,18.700000
memory,buffering-proxy-auto-detection,15,20.800000
memory,buffering-proxy-auto-detection,16,17.900000
memory,buffering-proxy-auto-detection,17,22.000000
memory,buffering-proxy-auto-detection,18,20.100000
memory,buffering-proxy-auto-detection,19,19.500000
memory,buffering-proxy-auto-detection,20,19.200000
memory,buffering-proxy-auto-detection,21,18.900000
memory,buffering-proxy-auto-detection,22,18.700000
memory,buffering-proxy-auto-detection,23,20.600000
memory,buffering-proxy-auto-detection,24,19.900000
memory,buffering-proxy-auto-detection,25,20.000000
memory,buffering-proxy-auto-detection,26,21.900000
memory,buffering-proxy-auto-detection,27,17.300000
memory,buffering-proxy-auto-detection,28,19.900000
memory,buffering-proxy-auto-detection,29,20.200000
memory,buffering-proxy-auto-detection,30,22.400000
memory,buffering-proxy-auto-detection,31,20.300000
memory,buffering-proxy-auto-detection,32,20.100000
memory,buffering-proxy-auto-detection,33,19.700000
memory,buffering-proxy-auto-detection,34,20.700000
memory,buffering-proxy-auto-detection,35,19.700000
memory,buffering-proxy-auto-detection,36,19.800000
memory,buffering-proxy-auto-detection,37,20.200000
memory,buffering-proxy-auto-detection,38,19.400000
memory,buffering-proxy-auto-detection,39,20.900000
memory,buffering-proxy-auto-detection,40,20.000000
memory,buffering-proxy-auto-detection,41,19.500000
memory,buffering-proxy-auto-detection,42,19.900000
memory,buffering-proxy-auto-detection,43,19.500000
memory,buffering-proxy-auto-detection,44,20.100000
memory,buffering-proxy-auto-detection,45,19.900000
memory,buffering-proxy-auto-detection,46,20.900000
memory,buffering-proxy-auto-detection,47,19.400000
memory,buffering-proxy-auto-detection,48,21.000000
memory,buffering-proxy-auto-detection,49,18.400000
memory,buffering-proxy-auto-detection,50,20.400000
memory,buffering-proxy-auto-detection,51,21.700000
