mode,variant,sample_index,delivery_milliseconds
memory,streaming,92,10.300000
memory,streaming,93,10.000000
memory,streaming,94,9.600000
memory,streaming,95,8.900000
memory,streaming,96,9.500000
memory,streaming,97,10.700000
memory,streaming,98,11.500000
memory,streaming,99,9.300000
memory,streaming,100,9.800000
memory,buffering-proxy-auto-detection,1,20.000000
memory,buffering-proxy-auto-detection,2,17.700000
memory,buffering-proxy-auto-detection,3,19.800000
memory,buffering-proxy-auto-detection,4,18.600000
memory,buffering-proxy-auto-detection,5,19.900000
memory,buffering-proxy-auto-detection,6,23.400000
memory,buffering-proxy-auto-detection,7,19.900000
memory,buffering-proxy-auto-detection,8,19.700000
memory,buffering-proxy-auto-detection,9,19.300000
memory,buffering-proxy-auto-detection,10,17.500000
memory,buffering-proxy-auto-detection,11,19.200000
memory,buffering-proxy-auto-detection,12,20.700000
memory,buffering-proxy-auto-detection,13,18.700000
memory,buffering-proxy-auto-detection,14,23.400000
memory,buffering-proxy-auto-detection,15,20.700000
memory,buffering-proxy-auto-detection,16,17.400000
memory,buffering-proxy-auto-detection,17,18.800000
memory,buffering-proxy-auto-detection,18,12.200000
memory,buffering-proxy-auto-detection,19,20.800000
memory,buffering-proxy-auto-detection,20,18.100000
memory,buffering-proxy-auto-detection,21,22.200000
memory,buffering-proxy-auto-detection,22,20.900000
memory,buffering-proxy-auto-detection,23,19.900000
memory,buffering-proxy-auto-detection,24,17.500000
memory,buffering-proxy-auto-detection,25,20.600000
memory,buffering-proxy-auto-detection,26,19.700000
memory,buffering-proxy-auto-detection,27,19.300000
memory,buffering-proxy-auto-detection,28,18.700000
memory,buffering-proxy-auto-detection,29,19.400000
memory,buffering-proxy-auto-detection,30,20.100000
memory,buffering-proxy-auto-detection,31,20.100000
memory,buffering-proxy-auto-detection,32,19.900000
memory,buffering-proxy-auto-detection,33,22.600000
memory,buffering-proxy-auto-detection,34,19.900000
memory,buffering-proxy-auto-detection,35,20.300000
memory,buffering-proxy-auto-detection,36,19.000000
memory,buffering-proxy-auto-detection,37,22.100000
memory,buffering-proxy-auto-detection,38,19.200000
memory,buffering-proxy-auto-detection,39,21.300000
memory,buffering-proxy-auto-detection,40,17.900000
memory,buffering-proxy-auto-detection,41,20.900000
memory,buffering-proxy-auto-detection,42,21.400000
memory,buffering-proxy-auto-detection,43,17.000000
memory,buffering-proxy-auto-detection,44,18.400000
memory,buffering-proxy-auto-detection,45,21.500000
memory,buffering-proxy-auto-detection,46,20.400000
memory,buffering-proxy-auto-detection,47,22.500000
memory,buffering-proxy-auto-detection,48,20.100000
memory,buffering-proxy-auto-detection,49,19.600000
memory,buffering-proxy-auto-detection,50,19.000000
memory,buffering-proxy-auto-detection,51,17.800000
memory,buffering-proxy-auto-detection,52,21.100000
memory,buffering-proxy-auto-detection,53,20.700000
memory,buffering-proxy-auto-detection,54,21.400000
memory,buffering-proxy-auto-detection,55,18.400000
memory,buffering-proxy-auto-detection,56,19.800000
memory,buffering-proxy-auto-detection,57,20.000000
memory,buffering-proxy-auto-detection,58,22.200000
memory,buffering-proxy-auto-detection,59,18.800000
memory,buffering-proxy-auto-detection,60,19.100000
memory,buffering-proxy-auto-detection,61,20.300000
memory,buffering-proxy-auto-detection,62,20.900000
memory,buffering-proxy-auto-detection,63,17.700000
memory,buffering-proxy-auto-detection,64,19.000000
memory,buffering-proxy-auto-detection,65,20.600000
memory,buffering-proxy-auto-detection,66,19.200000
memory,buffering-proxy-auto-detection,67,20.700000
memory,buffering-proxy-auto-detection,68,23.400000
memory,buffering-proxy-auto-detection,69,19.200000
memory,buffering-proxy-auto-detection,70,19.900000
memory,buffering-proxy-auto-detection,71,18.400000
memory,buffering-proxy-auto-detection,72,18.900000
memory,buffering-proxy-auto-detection,73,21.600000
memory,buffering-proxy-auto-detection,74,21.500000
memory,buffering-proxy-auto-detection,75,19.900000
memory,buffering-proxy-auto-detection,76,19.800000
memory,buffering-proxy-auto-detection,77,19.800000
memory,buffering-proxy-auto-detection,78,20.700000
memory,buffering-proxy-auto-detection,79,19.400000
memory,buffering-proxy-auto-detection,80,17.000000
memory,buffering-proxy-auto-detection,81,20.600000
memory,buffering-proxy-auto-detection,82,18.500000
memory,buffering-proxy-auto-detection,83,11.000000
memory,buffering-proxy-auto-detection,84,20.600000
memory,buffering-proxy-auto-detection,85,22.600000
memory,buffering-proxy-auto-detection,86,18.400000
memory,buffering-proxy-auto-detection,87,19.300000
memory,buffering-proxy-auto-detection,88,22.200000
memory,buffering-proxy-auto-detection,89,20.900000
memory,buffering-proxy-auto-detection,90,18.800000
memory,buffering-proxy-auto-detection,91,20.500000
memory,buffering-proxy-auto-detection,92,19.900000
memory,buffering-proxy-auto-detection,93,19.800000
memory,buffering-proxy-auto-detection,94,17.700000
memory,buffering-proxy-auto-detection,95,20.800000
memory,buffering-proxy-auto-detection,96,19.400000
memory,buffering-proxy-auto-detection,97,19.500000
memory,buffering-proxy-auto-detection,98,20.400000
memory,buffering-proxy-auto-detection,99,19.700000
memory,buffering-proxy-auto-detection,100,20.500000
disk-wal,long-polling,1,22.300000
disk-wal,long-polling,2,19.500000
disk-wal,long-polling,3,19.600000
disk-wal,long-polling,4,20.800000
disk-wal,long-polling,5,19.000000
disk-wal,long-polling,6,14.800000
disk-wal,long-polling,7,21.700000
disk-wal,long-polling,8,20.700000
disk-wal,long-polling,9,20.200000
disk-wal,long-polling,10,20.900000
disk-wal,long-polling,11,16.700000
disk-wal,long-polling,12,18.600000
disk-wal,long-polling,13,18.900000
disk-wal,long-polling,14,20.500000
disk-wal,long-polling,15,19.400000
disk-wal,long-polling,16,18.600000
disk-wal,long-polling,17,11.300000
disk-wal,long-polling,18,18.300000
disk-wal,long-polling,19,15.600000
disk-wal,long-polling,20,15.400000
disk-wal,long-polling,21,19.100000
disk-wal,long-polling,22,18.900000
disk-wal,long-polling,23,17.500000
disk-wal,long-polling,24,16.700000
disk-wal,long-polling,25,23.700000
disk-wal,long-polling,26,21.900000
disk-wal,long-polling,27,23.000000
disk-wal,long-polling,28,20.200000
disk-wal,long-polling,29,20.700000
disk-wal,long-polling,30,18.500000
disk-wal,long-polling,31,20.500000
disk-wal,long-polling,32,20.100000
disk-wal,long-polling,33,18.800000
disk-wal,long-polling,34,18.500000
disk-wal,long-polling,35,12.700000
disk-wal,long-polling,36,19.500000
disk-wal,long-polling,37,23.300000
disk-wal,long-polling,38,17.100000
disk-wal,long-polling,39,17.600000
disk-wal,long-polling,40,16.300000
disk-wal,long-polling,41,17.600000
disk-wal,long-polling,42,15.900000
disk-wal,long-polling,43,25.100000
disk-wal,long-polling,44,21.500000
disk-wal,long-polling,45,21.600000
disk-wal,long-polling,46,18.800000
disk-wal,long-polling,47,17.100000
disk-wal,long-polling,48,19.100000
disk-wal,long-polling,49,20.100000
disk-wal,long-polling,50,17.900000
disk-wal,long-polling,51,18.700000
disk-wal,long-polling,52,20.800000
disk-wal,long-polling,53,20.200000
disk-wal,long-polling,54,20.400000
disk-wal,long-polling,55,20.600000
disk-wal,long-polling,56,20.200000
disk-wal,long-polling,57,21.900000
disk-wal,long-polling,58,20.700000
disk-wal,long-polling,59,16.900000
disk-wal,long-polling,60,20.200000
disk-wal,long-polling,61,19.700000
disk-wal,long-polling,62,21.900000
disk-wal,long-polling,63,19.100000
disk-wal,long-polling,64,19.200000
disk-wal,long-polling,65,20.100000
disk-wal,long-polling,66,20.100000
disk-wal,long-polling,67,21.200000
disk-wal,long-polling,68,21.200000
disk-wal,long-polling,69,23.400000
disk-wal,long-polling,70,20.200000
disk-wal,long-polling,71,21.400000
disk-wal,long-polling,72,21.500000
disk-wal,long-polling,73,23.200000
disk-wal,long-polling,74,19.400000
disk-wal,long-polling,75,19.400000
disk-wal,long-polling,76,21.100000
disk-wal,long-polling,77,20.000000
disk-wal,long-polling,78,20.000000
disk-wal,long-polling,79,21.500000
disk-wal,long-polling,80,23.900000
disk-wal,long-polling,81,14.900000
disk-wal,long-polling,82,18.300000
disk-wal,long-polling,83,20.400000
disk-wal,long-polling,84,19.500000
disk-wal,long-polling,85,21.400000
disk-wal,long-polling,86,19.800000
disk-wal,long-polling,87,17.800000
disk-wal,long-polling,88,22.100000
disk-wal,long-polling,89,20.000000
disk-wal,long-polling,90,21.700000
disk-wal,long-polling,91,20.900000
disk-wal,long-polling,92,17.400000
disk-wal,long-polling,93,17.800000
disk-wal,long-polling,94,20.900000
disk-wal,long-polling,95,21.000000
disk-wal,long-polling,96,19.700000
disk-wal,long-polling,97,20.000000
disk-wal,long-polling,98,20.000000
disk-wal,long-polling,99,21.100000
disk-wal,long-polling,100,22.100000
disk-wal,streaming,1,17.800000
disk-wal,streaming,2,10.400000
disk-wal,streaming,3,12.400000
disk-wal,streaming,4,17.200000
disk-wal,streaming,5,12.300000
disk-wal,streaming,6,18.500000
disk-wal,streaming,7,12.400000
disk-wal,streaming,8,17.400000
disk-wal,streaming,9,19.900000
disk-wal,streaming,10,12.300000
disk-wal,streaming,11,18.200000
disk-wal,streaming,12,19.000000
disk-wal,streaming,13,12.300000
disk-wal,streaming,14,19.000000
disk-wal,streaming,15,19.000000
disk-wal,streaming,16,12.600000
disk-wal,streaming,17,17.000000
disk-wal,streaming,18,12.800000
disk-wal,streaming,19,17.700000
disk-wal,streaming,20,12.600000
disk-wal,streaming,21,17.800000
