timestamp,elapsed_seconds,write_count,write_p50_ms,write_p95_ms,write_p99_ms,write_max_ms,listener_count,listener_p50_ms,listener_p95_ms,listener_p99_ms,listener_max_ms
2026-08-29T05:03:02.566Z,10.006,423,245.74919100105762,540.4628109987825,659.6524400003254,703.9103520009667,43,338.7418319992721,603.5973879992962,731.28270999901,731.28270999901
2026-08-29T05:03:12.569Z,20.007,432,254.37022500112653,589.8347190003842,722.2754159998149,891.0047329999506,43,291.7083129994571,526.7375029996037,587.7289009988308,587.7289009988308
2026-08-29T05:03:22.554Z,30.007,645,75.09195700101554,473.8656479995698,721.2508869990706,850.9640870001167,64,82.80128999985754,516.4640620015562,786.9992019999772,786.9992019999772
2026-08-29T05:03:32.556Z,40.008,500,6.612964000552893,10.033861000090837,12.744679000228643,32.62913200072944,50,11.605650000274181,11.921849999576807,22.278721000999212,22.278721000999212
2026-08-29T05:03:42.556Z,50.009,501,6.960153998807073,10.808779999613762,13.031269000843167,23.79471999965608,50,11.328790999948978,12.129529001191258,12.219808999449015,12.219808999449015
2026-08-29T05:03:52.555Z,60.008,500,7.396414000540972,11.485589999705553,22.57616100087762,69.36279099993408,50,11.729190001264215,12.312909999862313,69.28118100017309,69.28118100017309
2026-08-29T05:04:02.555Z,70.008,499,6.852463999763131,10.825511001050472,22.21759100072086,62.05683699995279,50,11.646959999576211,12.251590000465512,66.56601300090551,66.56601300090551
2026-08-29T05:04:12.555Z,80.008,500,7.72083400003612,11.400330999866128,14.732858000323176,22.127751000225544,50,11.57259999960661,12.227618999779224,12.314070001244545,12.314070001244545
2026-08-29T05:04:22.556Z,90.008,500,7.815052999183536,11.465191001072526,17.9528650008142,23.685360001400113,50,11.759449999779463,12.470500001683831,18.277455000206828,18.277455000206828
2026-08-29T05:04:32.556Z,100.009,501,7.073524000123143,10.961729999631643,11.970459999516606,23.847959998995066,50,11.377621000632644,12.001460000872612,12.435440000146627,12.435440000146627
2026-08-29T05:04:42.555Z,110.008,499,7.387023000046611,11.06971099972725,13.140518000349402,23.73500999994576,50,11.767679998651147,12.190619999542832,12.23657999932766,12.23657999932766
2026-08-29T05:04:52.557Z,120.01,500,8.004164000973105,11.275609999895096,14.893187999725342,45.77036099880934,50,11.689181001856923,12.201509999111295,12.411708999425173,12.411708999425173
2026-08-29T05:05:02.557Z,130.01,501,7.267443999648094,11.4791110008955,13.847648000344634,21.871720999479294,50,10.815480999648571,12.025659998878837,13.272729000076652,13.272729000076652
2026-08-29T05:05:12.558Z,140.01,500,7.258223999291658,11.091749999672174,13.486697999760509,42.42142399959266,50,11.041720999404788,12.058359999209642,42.37818400003016,42.37818400003016
2026-08-29T05:05:22.558Z,150.011,500,6.932714000344276,10.912980999797583,12.941680001094937,35.19328000023961,50,11.243861000984907,12.154030000790954,34.79825999960303,34.79825999960303
2026-08-29T05:05:32.558Z,160.011,500,6.94968399964273,10.931990999728441,21.3866719994694,55.566013000905514,50,11.137721000239253,12.89499899931252,55.34386299923062,55.34386299923062
2026-08-29T05:05:42.558Z,170.011,500,6.950273999944329,10.735731000080705,14.967447001487017,55.652132999151945,50,11.079051000997424,12.339190000668168,55.61693299934268,55.61693299934268
2026-08-29T05:05:52.558Z,180.011,500,6.959933999925852,11.054190998896956,17.320334998890758,63.36293600127101,50,11.635570000857115,12.172788999974728,61.89684800058603,61.89684800058603
2026-08-29T05:06:02.558Z,190.011,500,7.636033998802304,11.202370999380946,22.891909999772906,47.517839999869466,50,11.320119999349117,12.082929998636246,47.46635999903083,47.46635999903083
2026-08-29T05:06:12.559Z,200.011,500,6.619765000417829,10.377072000876069,13.48780799843371,60.11400800012052,50,11.508379999548197,12.4208590015769,61.29206799902022,61.29206799902022
2026-08-29T05:06:22.559Z,210.011,500,7.467273999005556,11.009020999073982,12.209328999742866,24.241189999505877,50,11.346660001203418,12.544219998642802,14.996356999501586,14.996356999501586
2026-08-29T05:06:32.559Z,220.011,500,7.74596400000155,11.312211001291871,19.728922998532653,45.829311000183225,50,11.410749999806285,12.159840000793338,46.18883099965751,46.18883099965751
2026-08-29T05:06:42.558Z,230.011,500,6.950784001499414,10.929781001061201,16.839565999805927,56.10183300077915,50,11.468599999323487,12.107179999351501,56.38901299983263,56.38901299983263
2026-08-29T05:06:52.560Z,240.013,500,7.0129039995372295,10.743460999801755,13.34102899953723,50.118926998227835,50,11.280951000750065,12.33644900098443,50.05759799852967,50.05759799852967
2026-08-29T05:07:02.559Z,250.013,500,6.713813999667764,10.873741000890732,18.027255000546575,53.36754400096834,50,10.86562000028789,12.174659000709653,53.78237400017679,53.78237400017679
2026-08-29T05:07:12.561Z,260.014,500,6.691194999963045,10.684871001169086,14.043708000332117,24.101249000057578,50,10.862931000068784,12.1568400003016,12.485239999368787,12.485239999368787
2026-08-29T05:07:22.561Z,270.013,500,6.817334000021219,10.678069999441504,21.13144199922681,75.94263499975204,50,11.361910000443459,12.119880000129342,12.368970001116395,12.368970001116395
2026-08-29T05:07:32.561Z,280.013,500,7.343344001099467,11.12963000126183,16.610574999824166,43.808373000472784,50,11.001490999013186,12.093080000951886,17.975984001532197,17.975984001532197
2026-08-29T05:07:42.561Z,290.013,500,6.747093999758363,10.94391099922359,17.834545001387596,59.41597899980843,50,9.91810099966824,12.271199999377131,60.927807999774814,60.927807999774814
2026-08-29T05:07:52.561Z,300.013,500,7.090414000675082,10.963619999587536,14.728236999362707,57.40189200080931,50,11.165311001241207,12.238280000165105,65.58105500042439,65.58105500042439
2026-08-29T05:08:02.560Z,310.013,500,6.939713999629021,10.892781000584364,16.146085999906063,50.258077001199126,50,10.949320999905467,12.175909999758005,50.10596700012684,50.10596700012684
2026-08-29T05:08:12.561Z,320.014,500,6.795295000076294,10.78626099973917,15.272926999256015,22.56419000029564,50,11.081509999930859,12.17947900108993,12.488888999447227,12.488888999447227
